id	name	device	begin	end	count
1	datatbl_a208d05d20b18222_20180328092817913427	a208d05d20b18222	2018-03-28 09:28:17.972617	2018-04-02 13:24:43.343227	0
2	datatbl_6757aaa615e18c07_20180328093753700326	6757aaa615e18c07	2018-03-28 09:37:53.766036	2018-03-28 09:38:09.633237	1000
3	datatbl_6757aaa615e18c07_20180328093809655921	6757aaa615e18c07	2018-03-28 09:38:09.721211	2018-03-28 09:38:25.662119	1000
4	datatbl_6757aaa615e18c07_20180328093825664212	6757aaa615e18c07	2018-03-28 09:38:25.726302	2018-03-28 09:38:41.642321	1000
5	datatbl_6757aaa615e18c07_20180328093841660461	6757aaa615e18c07	2018-03-28 09:38:41.743626	2018-03-28 09:38:57.676614	1000
6	datatbl_6757aaa615e18c07_20180328093857677885	6757aaa615e18c07	2018-03-28 09:38:57.868131	2018-03-28 09:39:13.658581	1000
7	datatbl_6757aaa615e18c07_20180328093913661043	6757aaa615e18c07	2018-03-28 09:39:13.727853	2018-03-28 09:39:29.711283	1000
8	datatbl_6757aaa615e18c07_20180328093929712755	6757aaa615e18c07	2018-03-28 09:39:29.783406	2018-03-28 09:39:45.845786	1000
9	datatbl_6757aaa615e18c07_20180328093945868925	6757aaa615e18c07	2018-03-28 09:39:45.929061	2018-03-28 09:40:01.809115	1000
10	datatbl_6757aaa615e18c07_20180328094001839548	6757aaa615e18c07	2018-03-28 09:40:01.906265	2018-03-28 09:40:17.709212	1000
11	datatbl_6757aaa615e18c07_20180328094017771296	6757aaa615e18c07	2018-03-28 09:40:17.835194	2018-03-28 09:40:33.703761	1000
12	datatbl_6757aaa615e18c07_20180328094033727127	6757aaa615e18c07	2018-03-28 09:40:33.797090	2018-03-28 09:40:49.779949	1000
13	datatbl_6757aaa615e18c07_20180328094049818701	6757aaa615e18c07	2018-03-28 09:40:49.902732	2018-03-28 09:41:05.761864	1000
14	datatbl_6757aaa615e18c07_20180328094105763833	6757aaa615e18c07	2018-03-28 09:41:05.965235	2018-03-28 09:41:21.914659	1000
15	datatbl_6757aaa615e18c07_20180328094121953300	6757aaa615e18c07	2018-03-28 09:41:22.076517	2018-03-28 09:41:37.786517	1000
16	datatbl_6757aaa615e18c07_20180328094137787870	6757aaa615e18c07	2018-03-28 09:41:37.854670	2018-04-02 13:24:43.356025	212
19	datatbl_6757aaa615e18c07_20180328104243933601	6757aaa615e18c07	2018-03-28 10:42:43.944550	2018-03-28 10:42:59.657828	997
20	datatbl_6757aaa615e18c07_20180328104259659265	6757aaa615e18c07	2018-03-28 10:42:59.670232	2018-03-28 10:43:15.456274	1000
21	datatbl_6757aaa615e18c07_20180328104315457763	6757aaa615e18c07	2018-03-28 10:43:15.468505	2018-03-28 10:43:31.261419	1000
22	datatbl_6757aaa615e18c07_20180328104331262894	6757aaa615e18c07	2018-03-28 10:43:31.273710	2018-03-28 10:43:47.016825	1000
23	datatbl_6757aaa615e18c07_20180328104347018203	6757aaa615e18c07	2018-03-28 10:43:47.028263	2018-03-28 10:44:02.837461	1000
24	datatbl_6757aaa615e18c07_20180328104402839546	6757aaa615e18c07	2018-03-28 10:44:02.852976	2018-03-28 10:44:18.697170	1000
25	datatbl_6757aaa615e18c07_20180328104418698711	6757aaa615e18c07	2018-03-28 10:44:18.708460	2018-03-28 10:44:34.445346	1000
26	datatbl_6757aaa615e18c07_20180328104434446844	6757aaa615e18c07	2018-03-28 10:44:34.458264	2018-03-28 10:44:50.282759	1000
27	datatbl_6757aaa615e18c07_20180328104450284986	6757aaa615e18c07	2018-03-28 10:44:50.295711	2018-03-28 10:45:06.045100	1000
28	datatbl_6757aaa615e18c07_20180328104506046481	6757aaa615e18c07	2018-03-28 10:45:06.056052	2018-03-28 10:45:21.861488	1000
